| date       | actual_mean_temp | actual_min_temp | actual_max_temp | average_min_temp | average_max_temp | record_min_temp | record_max_temp | record_min_temp_year | record_max_temp_year | actual_precipitation | average_precipitation | record_precipitation |
| ---------- | ---------------- | --------------- | --------------- | ---------------- | ---------------- | --------------- | --------------- | -------------------- | -------------------- | -------------------- | --------------------- | -------------------- |
| 2014-07-08 | 83               | 74              | 92              | 75               | 93               | 68              | 104             | 1892                 | 1980                 | 0                    | 0.15                  | 1.49                 |
| 2014-07-09 | 85               | 74              | 95              | 75               | 93               | 64              | 102             | 1905                 | 1980                 | 0                    | 0.14                  | 2.39                 |
| 2014-07-11 | 83               | 72              | 94              | 75               | 93               | 64              | 103             | 1905                 | 1980                 | 0                    | 0.13                  | 3.08                 |
| 2014-07-21 | 87               | 77              | 96              | 75               | 94               | 65              | 101             | 1989                 | 2000                 | 0                    | 0.1                   | 1.09                 |
| 2014-07-23 | 86               | 76              | 95              | 75               | 94               | 64              | 101             | 1970                 | 1980                 | 0.07                 | 0.11                  | 2.36                 |
| 2014-07-25 | 85               | 74              | 95              | 75               | 94               | 65              | 102             | 1894                 | 1964                 | 0                    | 0.1                   | 3.74                 |
| 2014-07-31 | 84               | 73              | 94              | 75               | 95               | 67              | 103             | 1936                 | 1998                 | 3.91                 | 0.09                  | 3.91                 |
| 2014-08-01 | 80               | 73              | 87              | 75               | 95               | 67              | 103             | 1984                 | 1998                 | 0.01                 | 0.1                   | 2.1                  |
| 2014-08-05 | 83               | 74              | 92              | 75               | 95               | 64              | 103             | 1976                 | 1964                 | 0                    | 0.1                   | 2.81                 |
| 2014-08-08 | 87               | 77              | 97              | 75               | 95               | 68              | 104             | 1990                 | 1962                 | 0.1                  | 0.1                   | 1.66                 |
| 2014-08-15 | 86               | 75              | 96              | 75               | 95               | 61              | 101             | 2004                 | 1994                 | 0                    | 0.11                  | 2.74                 |
| 2014-08-16 | 89               | 80              | 98              | 75               | 95               | 63              | 102             | 2004                 | 1925                 | 0                    | 0.12                  | 3.95                 |
| 2014-08-18 | 86               | 76              | 96              | 75               | 95               | 62              | 108             | 1992                 | 1909                 | 0                    | 0.13                  | 6.69                 |
| 2014-08-19 | 85               | 76              | 94              | 75               | 95               | 69              | 107             | 2000                 | 1909                 | 0                    | 0.13                  | 1.85                 |
| 2014-08-24 | 86               | 74              | 98              | 75               | 94               | 54              | 105             | 1891                 | 1980                 | 0                    | 0.14                  | 2.48                 |
| 2014-08-27 | 85               | 75              | 94              | 74               | 94               | 59              | 109             | 1891                 | 2011                 | 0                    | 0.14                  | 8.32                 |
| 2014-08-28 | 83               | 76              | 90              | 74               | 94               | 63              | 107             | 1992                 | 2011                 | 0                    | 0.14                  | 3.88                 |
| 2014-08-31 | 79               | 74              | 84              | 74               | 93               | 62              | 107             | 1893                 | 2000                 | 0.83                 | 0.16                  | 5.98                 |
| 2014-09-01 | 84               | 74              | 93              | 74               | 93               | 63              | 107             | 1915                 | 2000                 | 0.36                 | 0.15                  | 2.22                 |
| 2014-09-07 | 84               | 73              | 95              | 72               | 92               | 59              | 98              | 1891                 | 1963                 | 0.42                 | 0.15                  | 4.55                 |
| 2014-09-10 | 87               | 78              | 95              | 72               | 91               | 59              | 99              | 1988                 | 1993                 | 0                    | 0.16                  | 1.82                 |
| 2014-09-17 | 82               | 75              | 89              | 70               | 89               | 55              | 100             | 2000                 | 1995                 | 0.25                 | 0.13                  | 1.85                 |
| 2014-09-20 | 81               | 73              | 89              | 69               | 89               | 54              | 99              | 1901                 | 1999                 | 0                    | 0.13                  | 7.66                 |
| 2014-09-27 | 79               | 71              | 86              | 66               | 87               | 45              | 100             | 1942                 | 2005                 | 0                    | 0.13                  | 3.46                 |
| 2014-10-01 | 83               | 72              | 93              | 65               | 86               | 44              | 99              | 1984                 | 1900                 | 0.09                 | 0.15                  | 4.62                 |
| 2014-10-02 | 82               | 71              | 93              | 65               | 86               | 47              | 97              | 1984                 | 1938                 | 0.78                 | 0.16                  | 2.25                 |
| 2014-10-03 | 74               | 63              | 84              | 65               | 85               | 45              | 95              | 1975                 | 1994                 | 0.32                 | 0.17                  | 3.24                 |
| 2014-10-05 | 69               | 53              | 85              | 64               | 85               | 41              | 94              | 1975                 | 2006                 | 0                    | 0.17                  | 2.9                  |
| 2014-10-06 | 75               | 65              | 84              | 64               | 85               | 44              | 94              | 1975                 | 1928                 | 0.69                 | 0.17                  | 4.42                 |
| 2014-10-17 | 73               | 60              | 86              | 61               | 82               | 40              | 93              | 1977                 | 1895                 | 0                    | 0.2                   | 4.31                 |
| 2014-10-25 | 70               | 55              | 85              | 59               | 80               | 39              | 91              | 1980                 | 1950                 | 0                    | 0.2                   | 9.25                 |
| 2014-10-27 | 72               | 58              | 86              | 58               | 79               | 36              | 94              | 1898                 | 2010                 | 0                    | 0.18                  | 2.72                 |
| 2014-11-02 | 57               | 41              | 72              | 56               | 77               | 34              | 89              | 1991                 | 1978                 | 0                    | 0.14                  | 4.58                 |
| 2014-11-13 | 41               | 36              | 45              | 53               | 73               | 29              | 86              | 1907                 | 2005                 | 0.2                  | 0.14                  | 4.53                 |
| 2014-11-27 | 55               | 43              | 67              | 49               | 69               | 26              | 84              | 1975                 | 1989                 | 0                    | 0.14                  | 3.12                 |
| 2014-12-02 | 50               | 44              | 56              | 47               | 67               | 28              | 84              | 1979                 | 2012                 | 0                    | 0.13                  | 3.28                 |
| 2014-12-04 | 63               | 53              | 72              | 47               | 67               | 27              | 83              | 1897                 | 2012                 | 0                    | 0.13                  | 1.96                 |
| 2014-12-12 | 66               | 57              | 75              | 45               | 65               | 25              | 82              | 1989                 | 1948                 | 0                    | 0.13                  | 2.57                 |
| 2014-12-16 | 57               | 48              | 66              | 44               | 64               | 19              | 82              | 1989                 | 1971                 | 0                    | 0.12                  | 3.05                 |
| 2014-12-17 | 54               | 44              | 64              | 44               | 64               | 20              | 80              | 1932                 | 1984                 | 0                    | 0.12                  | 2.28                 |
| 2014-12-26 | 61               | 51              | 71              | 43               | 63               | 18              | 78              | 1983                 | 2005                 | 0.04                 | 0.11                  | 2.06                 |
| 2014-12-27 | 60               | 46              | 74              | 43               | 63               | 19              | 81              | 1892                 | 1971                 | 0.22                 | 0.11                  | 1.38                 |
| 2014-12-30 | 46               | 38              | 53              | 43               | 63               | 19              | 83              | 1983                 | 1974                 | 0                    | 0.1                   | 1.36                 |
| 2015-01-07 | 51               | 39              | 62              | 43               | 62               | 19              | 79              | 1970                 | 1989                 | 0                    | 0.1                   | 2.01                 |
| 2015-01-12 | 46               | 43              | 49              | 43               | 63               | 11              | 81              | 1918                 | 2000                 | 0                    | 0.11                  | 2.27                 |
| 2015-01-15 | 47               | 39              | 54              | 43               | 63               | 21              | 79              | 1892                 | 1996                 | 0                    | 0.11                  | 2.82                 |
| 2015-01-20 | 61               | 45              | 76              | 43               | 63               | 20              | 81              | 1985                 | 2012                 | 0                    | 0.11                  | 1.83                 |
| 2015-01-21 | 62               | 57              | 67              | 43               | 63               | 16              | 81              | 1985                 | 1911                 | 0                    | 0.11                  | 2.05                 |
| 2015-01-27 | 64               | 47              | 81              | 44               | 64               | 19              | 83              | 1897                 | 1975                 | 0                    | 0.11                  | 2.86                 |
| 2015-01-30 | 55               | 45              | 65              | 44               | 64               | 18              | 84              | 1949                 | 1911                 | 0                    | 0.12                  | 1.64                 |
| 2015-02-05 | 48               | 41              | 55              | 45               | 65               | 23              | 83              | 1996                 | 1957                 | 0                    | 0.1                   | 1.8                  |
| 2015-02-06 | 49               | 41              | 56              | 45               | 65               | 24              | 81              | 1989                 | 1969                 | 0                    | 0.11                  | 1.09                 |
| 2015-02-14 | 61               | 43              | 78              | 46               | 66               | 10              | 83              | 1899                 | 1911                 | 0                    | 0.11                  | 1.9                  |
| 2015-02-16 | 53               | 37              | 68              | 47               | 66               | 13              | 82              | 1895                 | 1927                 | 0.15                 | 0.12                  | 2.05                 |
| 2015-02-19 | 51               | 37              | 64              | 47               | 67               | 20              | 88              | 1900                 | 1986                 | 0                    | 0.12                  | 1.3                  |
| 2015-02-23 | 40               | 34              | 46              | 48               | 68               | 27              | 88              | 1976                 | 1996                 | 0.02                 | 0.11                  | 1.6                  |
| 2015-02-24 | 38               | 33              | 43              | 48               | 68               | 26              | 87              | 1914                 | 1927                 | 0                    | 0.12                  | 1.38                 |
| 2015-02-26 | 43               | 31              | 55              | 49               | 69               | 26              | 86              | 1974                 | 1986                 | 0                    | 0.12                  | 1.51                 |
| 2015-02-27 | 42               | 37              | 46              | 49               | 69               | 22              | 86              | 2002                 | 1954                 | 0                    | 0.11                  | 1.85                 |
| 2015-02-28 | 47               | 37              | 57              | 49               | 69               | 28              | 90              | 2002                 | 1940                 | 0.02                 | 0.12                  | 1.44                 |
| 2015-03-02 | 54               | 48              | 60              | 50               | 70               | 22              | 91              | 1980                 | 1909                 | 0.01                 | 0.12                  | 1.55                 |
| 2015-03-08 | 49               | 45              | 53              | 51               | 71               | 27              | 88              | 1971                 | 1911                 | 1.49                 | 0.11                  | 2.05                 |
| 2015-03-15 | 64               | 55              | 73              | 52               | 73               | 32              | 89              | 1999                 | 2008                 | 0                    | 0.11                  | 2.06                 |
| 2015-03-16 | 67               | 57              | 77              | 53               | 73               | 34              | 87              | 1913                 | 1908                 | 0                    | 0.11                  | 2.83                 |
| 2015-03-17 | 70               | 58              | 82              | 53               | 73               | 30              | 88              | 1900                 | 1908                 | 0                    | 0.1                   | 2.57                 |
| 2015-03-18 | 74               | 65              | 82              | 53               | 74               | 27              | 90              | 1892                 | 2013                 | 0.11                 | 0.1                   | 1.6                  |
| 2015-03-20 | 74               | 66              | 82              | 53               | 74               | 24              | 90              | 1923                 | 1907                 | 0.02                 | 0.11                  | 7.47                 |
| 2015-03-21 | 65               | 64              | 66              | 54               | 74               | 30              | 87              | 1996                 | 1907                 | 1.01                 | 0.1                   | 1.38                 |
| 2015-03-22 | 68               | 60              | 76              | 54               | 75               | 32              | 89              | 1970                 | 1916                 | 0                    | 0.12                  | 2.01                 |
| 2015-03-23 | 68               | 55              | 80              | 54               | 75               | 35              | 89              | 1989                 | 1929                 | 0                    | 0.11                  | 2.27                 |
| 2015-03-25 | 68               | 56              | 80              | 54               | 75               | 36              | 93              | 2006                 | 1928                 | 0                    | 0.12                  | 7.36                 |
| 2015-03-26 | 62               | 54              | 69              | 55               | 75               | 30              | 94              | 1955                 | 1928                 | 0.09                 | 0.12                  | 2.23                 |
| 2015-03-30 | 72               | 61              | 83              | 55               | 76               | 33              | 96              | 1987                 | 1946                 | 0                    | 0.11                  | 2.9                  |
| 2015-04-02 | 77               | 69              | 84              | 56               | 77               | 38              | 89              | 1996                 | 1939                 | 0                    | 0.1                   | 4.75                 |
| 2015-04-04 | 67               | 61              | 73              | 56               | 77               | 34              | 88              | 1987                 | 1897                 | 0                    | 0.1                   | 3.35                 |
| 2015-04-11 | 70               | 63              | 77              | 58               | 79               | 38              | 89              | 1989                 | 1934                 | 0.13                 | 0.1                   | 1.67                 |
| 2015-04-14 | 70               | 64              | 76              | 59               | 79               | 39              | 89              | 1980                 | 1996                 | 0.12                 | 0.11                  | 3.52                 |
| 2015-04-17 | 74               | 64              | 83              | 60               | 80               | 38              | 92              | 1999                 | 2006                 | 1.1                  | 0.11                  | 1.9                  |
| 2015-04-19 | 72               | 58              | 86              | 60               | 80               | 40              | 92              | 1901                 | 1987                 | 0.54                 | 0.11                  | 2.77                 |
| 2015-04-21 | 68               | 56              | 79              | 61               | 81               | 42              | 90              | 1978                 | 1987                 | 0                    | 0.12                  | 3.76                 |
| 2015-04-23 | 79               | 69              | 88              | 61               | 81               | 44              | 91              | 1998                 | 1999                 | 0                    | 0.11                  | 2.4                  |
| 2015-04-24 | 78               | 71              | 85              | 62               | 81               | 46              | 92              | 1995                 | 1894                 | 0                    | 0.12                  | 2.24                 |
| 2015-04-25 | 78               | 67              | 88              | 62               | 82               | 41              | 90              | 1910                 | 1987                 | 0.21                 | 0.13                  | 2.5                  |
| 2015-04-26 | 76               | 67              | 85              | 62               | 82               | 46              | 91              | 1978                 | 1988                 | 0                    | 0.12                  | 3.52                 |
| 2015-04-27 | 72               | 66              | 78              | 63               | 82               | 47              | 93              | 1978                 | 1933                 | 0.02                 | 0.13                  | 2.72                 |
| 2015-04-28 | 64               | 56              | 71              | 63               | 82               | 47              | 95              | 1978                 | 1987                 | 0                    | 0.12                  | 3.76                 |
| 2015-05-01 | 71               | 57              | 84              | 64               | 83               | 45              | 94              | 1908                 | 1947                 | 0                    | 0.15                  | 4.11                 |
| 2015-05-07 | 80               | 74              | 85              | 65               | 84               | 47              | 94              | 1891                 | 1998                 | 0                    | 0.17                  | 2.61                 |
| 2015-05-10 | 82               | 77              | 87              | 66               | 85               | 51              | 94              | 1984                 | 1927                 | 0.03                 | 0.17                  | 5.89                 |
| 2015-05-12 | 74               | 69              | 79              | 67               | 85               | 50              | 92              | 1895                 | 1967                 | 0.56                 | 0.16                  | 5.27                 |
| 2015-05-14 | 80               | 72              | 87              | 67               | 86               | 47              | 93              | 1971                 | 1995                 | 0.05                 | 0.16                  | 2.44                 |
| 2015-05-18 | 80               | 73              | 86              | 68               | 87               | 50              | 95              | 1976                 | 1890                 | 0.24                 | 0.15                  | 6.16                 |
| 2015-05-23 | 79               | 73              | 85              | 69               | 88               | 45              | 95              | 1892                 | 1996                 | 0.72                 | 0.16                  | 3.99                 |
| 2015-05-27 | 76               | 65              | 86              | 70               | 89               | 50              | 98              | 1901                 | 1928                 | 1.41                 | 0.17                  | 3.99                 |
| 2015-05-29 | 80               | 70              | 89              | 71               | 89               | 58              | 99              | 1984                 | 1996                 | 0.01                 | 0.17                  | 4.33                 |
| 2015-05-30 | 80               | 69              | 91              | 71               | 89               | 53              | 97              | 1984                 | 1998                 | 0.57                 | 0.17                  | 5.01                 |
| 2015-06-02 | 79               | 68              | 90              | 71               | 90               | 55              | 100             | 1892                 | 2011                 | 0                    | 0.17                  | 4.03                 |
| 2015-06-08 | 83               | 72              | 93              | 72               | 91               | 60              | 99              | 1977                 | 1980                 | 0                    | 0.19                  | 8.13                 |
| 2015-06-11 | 84               | 73              | 94              | 73               | 91               | 61              | 101             | 1976                 | 1902                 | 0.01                 | 0.21                  | 5.63                 |
| 2015-06-15 | 83               | 75              | 90              | 73               | 92               | 55              | 100             | 1903                 | 2011                 | 0.14                 | 0.21                  | 5.68                 |
| 2015-06-20 | 84               | 77              | 90              | 74               | 92               | 62              | 101             | 1976                 | 1902                 | 0.2                  | 0.21                  | 1.99                 |
| 2015-06-21 | 86               | 78              | 93              | 74               | 92               | 59              | 100             | 1976                 | 1998                 | 0                    | 0.21                  | 2.04                 |
| 2015-06-25 | 85               | 75              | 94              | 75               | 92               | 60              | 102             | 1974                 | 2009                 | 0                    | 0.2                   | 2.82                 |
| 2015-06-26 | 86               | 77              | 94              | 75               | 92               | 59              | 105             | 1974                 | 2012                 | 0.13                 | 0.19                  | 10.34                |
| 2015-06-30 | 82               | 72              | 92              | 75               | 93               | 61              | 103             | 1985                 | 1980                 | 2.26                 | 0.19                  | 2.26                 |
